id_conta_pagar,id_fornecedor,data_emissao,data_vencimento,data_pagamento,id_centro_custo,id_plano_contas,valor_original,valor_pago,juros_multa,desconto,status
54,10,2025-09-30,2025-10-30,2025-11-14,1,16,12348.98,12666.74,317.76,0.0,PAGA
55,35,2025-05-17,2025-06-08,2025-06-23,1,13,12240.77,12710.6,469.83,0.0,PAGA
56,21,2024-06-16,2024-07-14,2024-08-07,8,12,9749.22,9943.13,193.91,0.0,PAGA
57,10,2024-04-11,2024-04-16,2024-05-12,4,10,7696.72,8078.75,382.03,0.0,PAGA
58,17,2025-01-08,2025-01-27,,6,12,5522.64,0.0,0.0,0.0,ATRASADA
59,18,2025-06-24,2025-07-03,,2,12,2308.95,0.0,0.0,0.0,ATRASADA
60,21,2024-01-02,2024-01-30,2024-01-28,3,14,8459.12,8328.5,0.0,130.62,PAGA
61,19,2024-05-12,2024-05-18,,5,16,8756.84,0.0,0.0,0.0,ATRASADA
62,4,2025-09-08,2025-09-26,,2,13,5600.31,0.0,0.0,0.0,ATRASADA
63,32,2024-05-30,2024-06-24,2024-06-27,1,15,784.16,799.07,14.91,0.0,PAGA
64,22,2024-02-28,2024-03-25,,8,16,12023.5,0.0,0.0,0.0,ATRASADA
65,21,2025-05-07,2025-05-30,2025-06-21,8,14,9895.97,10034.72,138.75,0.0,PAGA
66,13,2024-02-22,2024-03-13,2024-04-11,7,16,10227.56,10673.94,446.38,0.0,PAGA
67,12,2025-08-06,2025-08-15,,2,15,1018.47,0.0,0.0,0.0,ATRASADA
68,25,2025-04-18,2025-05-02,2025-05-16,2,15,4118.21,4178.66,60.45,0.0,PAGA
69,5,2025-04-10,2025-04-20,2025-04-28,6,13,10470.71,10863.09,392.38,0.0,PAGA
70,24,2024-10-08,2024-11-06,,4,15,1404.55,0.0,0.0,0.0,ATRASADA
71,9,2025-09-10,2025-10-10,2025-11-04,3,15,9513.46,9867.16,353.7,0.0,PAGA
72,31,2025-12-29,2026-01-03,2025-12-31,3,11,9059.11,9192.83,133.72,0.0,PAGA
73,26,2025-06-17,2025-06-30,2025-06-27,1,11,2736.57,2661.41,0.0,75.16,PAGA
74,28,2024-01-30,2024-02-15,2024-02-12,3,13,4453.26,4355.58,0.0,97.68,PAGA
75,5,2024-07-29,2024-08-27,2024-09-22,8,16,1094.6,1148.49,53.89,0.0,PAGA
76,30,2024-12-05,2024-12-16,,2,10,11124.41,0.0,0.0,0.0,ATRASADA
77,9,2024-11-25,2024-12-14,,4,12,10352.52,0.0,0.0,0.0,ATRASADA
78,26,2025-04-19,2025-05-06,2025-05-12,4,13,971.24,1011.52,40.28,0.0,PAGA
79,22,2024-06-28,2024-07-14,2024-08-10,2,10,8940.98,9053.35,112.37,0.0,PAGA
80,31,2024-10-01,2024-10-22,2024-10-31,5,15,12281.16,12561.58,280.42,0.0,PAGA
81,11,2025-04-27,2025-05-26,2025-05-23,4,14,11292.51,11085.99,0.0,206.52,PAGA
82,22,2024-08-19,2024-09-06,2024-09-06,7,12,2120.7,2120.7,0.0,0.0,PAGA
83,27,2025-11-10,2025-11-29,2025-12-26,4,13,9435.44,9537.44,102.0,0.0,PAGA
84,10,2024-03-27,2024-04-23,2024-04-27,5,10,6199.2,6392.38,193.18,0.0,PAGA
85,5,2024-03-09,2024-03-18,2024-03-30,5,12,5137.4,5234.36,96.96,0.0,PAGA
86,1,2025-11-18,2025-12-03,2025-12-03,8,16,2454.24,2454.24,0.0,0.0,PAGA
87,23,2025-03-21,2025-04-11,,4,16,1600.05,0.0,0.0,0.0,CANCELADA
88,17,2025-03-30,2025-04-09,2025-04-20,8,12,5944.09,6039.01,94.92,0.0,PAGA
89,40,2024-10-03,2024-10-25,,6,12,1146.74,0.0,0.0,0.0,CANCELADA
90,37,2025-02-18,2025-03-10,2025-03-30,1,13,8140.8,8441.53,300.73,0.0,PAGA
91,14,2024-06-27,2024-07-06,,3,14,806.72,0.0,0.0,0.0,ATRASADA
92,32,2024-01-06,2024-02-05,2024-02-22,1,11,10209.92,10552.89,342.97,0.0,PAGA
93,28,2025-03-05,2025-03-22,2025-03-31,8,13,9036.13,9201.54,165.41,0.0,PAGA
94,29,2025-05-01,2025-05-28,2025-06-18,1,14,5027.29,5126.76,99.47,0.0,PAGA
95,1,2025-12-21,2026-01-16,,2,14,2779.08,0.0,0.0,0.0,ABERTA
96,12,2024-11-01,2024-11-09,,3,14,14378.09,0.0,0.0,0.0,ATRASADA
97,36,2024-04-22,2024-04-29,2024-05-22,2,12,13726.7,14148.32,421.62,0.0,PAGA
98,28,2024-01-09,2024-01-18,2024-01-19,7,16,13736.09,14406.3,670.21,0.0,PAGA
99,5,2025-03-08,2025-03-15,2025-03-20,2,14,5010.69,5117.61,106.92,0.0,PAGA
100,40,2024-12-08,2024-12-17,2024-12-22,8,12,2184.28,2250.31,66.03,0.0,PAGA
101,33,2025-04-22,2025-05-14,,6,11,13163.97,0.0,0.0,0.0,ATRASADA
102,25,2024-07-22,2024-08-15,2024-08-15,6,11,1275.39,1275.39,0.0,0.0,PAGA
103,20,2025-02-04,2025-02-10,2025-02-27,7,10,9272.99,9670.57,397.58,0.0,PAGA
104,13,2025-02-04,2025-03-03,2025-03-19,7,16,9930.17,10112.92,182.75,0.0,PAGA
105,31,2025-08-28,2025-09-04,2025-09-10,6,12,3899.36,3951.53,52.17,0.0,PAGA
106,31,2025-03-06,2025-03-24,2025-03-24,3,12,11337.29,11337.29,0.0,0.0,PAGA
107,13,2025-07-10,2025-08-07,2025-09-02,6,11,4395.51,4606.17,210.66,0.0,PAGA
108,4,2024-08-26,2024-09-11,2024-09-15,1,13,11212.29,11537.11,324.82,0.0,PAGA
109,8,2024-04-13,2024-04-26,2024-04-23,5,13,12937.3,12710.12,0.0,227.18,PAGA
110,32,2024-02-17,2024-03-02,2024-03-07,6,14,14784.86,15350.29,565.43,0.0,PAGA
111,37,2024-05-14,2024-05-19,2024-05-24,8,13,5881.87,6120.61,238.74,0.0,PAGA
112,18,2025-07-01,2025-07-11,2025-08-10,7,11,9745.13,10200.68,455.55,0.0,PAGA
113,9,2024-03-12,2024-04-09,2024-04-26,5,13,11807.72,12159.84,352.12,0.0,PAGA
114,25,2024-04-20,2024-05-16,2024-05-20,2,11,9087.36,9338.86,251.5,0.0,PAGA
115,7,2024-09-29,2024-10-26,2024-11-14,2,10,6322.61,6570.87,248.26,0.0,PAGA
116,18,2024-01-12,2024-01-30,,8,10,10936.32,0.0,0.0,0.0,ATRASADA
117,35,2025-10-23,2025-11-14,2025-11-22,2,11,9249.47,9440.86,191.39,0.0,PAGA
118,9,2025-04-26,2025-05-03,,5,12,11486.01,0.0,0.0,0.0,ATRASADA
119,38,2024-11-27,2024-12-07,2024-12-17,7,11,13810.58,14454.74,644.16,0.0,PAGA
120,35,2025-12-05,2025-12-13,2025-12-25,5,11,1528.36,1567.5,39.14,0.0,PAGA
121,7,2025-11-26,2025-12-05,2025-12-26,7,10,14402.88,14916.17,513.29,0.0,PAGA
122,28,2024-08-29,2024-09-21,2024-10-09,6,11,14084.27,14395.13,310.86,0.0,PAGA
123,16,2025-04-24,2025-05-17,2025-05-19,2,15,9596.96,9951.41,354.45,0.0,PAGA
124,11,2024-07-18,2024-08-08,2024-08-10,1,11,5169.39,5315.0,145.61,0.0,PAGA
125,28,2025-01-30,2025-02-09,2025-03-02,8,11,10426.79,10709.06,282.27,0.0,PAGA
126,37,2024-03-12,2024-04-03,,1,13,11487.02,0.0,0.0,0.0,ATRASADA
127,34,2024-02-11,2024-02-17,2024-03-11,4,16,4759.06,4839.59,80.53,0.0,PAGA
128,3,2025-08-26,2025-09-01,2025-08-31,6,12,11105.68,10803.95,0.0,301.73,PAGA
129,8,2024-01-01,2024-01-10,2024-01-27,4,12,2119.67,2156.65,36.98,0.0,PAGA
130,2,2024-02-11,2024-02-17,,7,16,4887.91,0.0,0.0,0.0,CANCELADA
131,5,2024-04-14,2024-05-14,,1,14,9131.83,0.0,0.0,0.0,ATRASADA
132,10,2024-05-17,2024-05-24,2024-05-31,8,11,9180.77,9519.35,338.58,0.0,PAGA
133,29,2025-12-19,2026-01-05,2025-12-31,6,10,13044.98,13365.72,320.74,0.0,PAGA
134,2,2025-11-15,2025-12-03,2025-12-28,2,16,7525.24,7617.86,92.62,0.0,PAGA
135,4,2025-06-14,2025-06-22,2025-07-18,5,10,4538.28,4619.07,80.79,0.0,PAGA
136,10,2025-05-25,2025-06-13,2025-06-18,5,13,6004.39,6087.03,82.64,0.0,PAGA
137,7,2025-11-11,2025-11-29,,7,15,13775.2,0.0,0.0,0.0,CANCELADA
138,26,2025-11-08,2025-12-05,2025-12-16,8,10,1219.8,1237.34,17.54,0.0,PAGA
139,26,2025-05-26,2025-06-09,,6,11,8976.14,0.0,0.0,0.0,ATRASADA
140,35,2024-09-16,2024-10-10,2024-10-09,3,13,4424.65,4356.13,0.0,68.52,PAGA
141,33,2025-07-08,2025-07-20,2025-08-09,4,11,12175.16,12626.7,451.54,0.0,PAGA
142,12,2024-12-18,2025-01-08,2025-01-09,5,13,1948.21,1975.48,27.27,0.0,PAGA
143,7,2024-04-06,2024-04-22,2024-05-21,6,16,5521.5,5647.85,126.35,0.0,PAGA
144,38,2025-11-01,2025-11-20,2025-12-16,5,11,1988.07,2035.43,47.36,0.0,PAGA
145,33,2025-10-03,2025-10-15,,4,12,8429.29,0.0,0.0,0.0,CANCELADA
146,11,2024-12-22,2025-01-13,,1,15,1791.1,0.0,0.0,0.0,ATRASADA
147,13,2025-02-16,2025-02-26,2025-02-24,1,13,10532.91,10412.46,0.0,120.45,PAGA
148,34,2024-06-15,2024-06-28,2024-07-06,8,16,11522.15,11701.98,179.83,0.0,PAGA
149,39,2025-03-10,2025-03-19,,6,13,10650.55,0.0,0.0,0.0,ATRASADA
150,33,2024-12-18,2025-01-02,2025-01-17,4,10,1847.29,1914.87,67.58,0.0,PAGA
151,2,2024-03-09,2024-03-21,2024-03-19,6,10,9689.34,9510.85,0.0,178.49,PAGA
152,4,2024-11-12,2024-11-29,,3,13,8811.69,0.0,0.0,0.0,ATRASADA
153,20,2024-12-21,2024-12-26,,8,16,7605.6,0.0,0.0,0.0,ATRASADA
154,20,2024-01-20,2024-01-28,2024-02-26,1,15,4062.3,4265.32,203.02,0.0,PAGA
155,14,2024-02-15,2024-02-21,2024-02-28,1,15,9114.4,9545.83,431.43,0.0,PAGA
156,38,2025-02-02,2025-02-27,2025-03-16,7,10,1240.4,1289.39,48.99,0.0,PAGA
157,4,2024-08-15,2024-08-22,2024-09-15,6,13,6680.32,6961.25,280.93,0.0,PAGA
158,25,2025-09-10,2025-10-09,,4,14,7745.16,0.0,0.0,0.0,ATRASADA
159,9,2025-11-20,2025-12-07,2025-12-13,2,12,3867.31,3962.71,95.4,0.0,PAGA
160,14,2025-10-06,2025-10-24,2025-10-27,3,12,7955.33,8296.38,341.05,0.0,PAGA
161,7,2024-03-16,2024-04-08,2024-04-22,8,15,11994.22,12397.05,402.83,0.0,PAGA
162,14,2024-01-24,2024-02-08,2024-02-05,3,12,869.22,851.91,0.0,17.31,PAGA
163,15,2025-02-13,2025-03-14,2025-03-27,2,12,10104.34,10333.94,229.6,0.0,PAGA
164,12,2025-03-11,2025-03-31,2025-04-16,6,12,5155.67,5340.74,185.07,0.0,PAGA
165,6,2024-11-17,2024-11-22,2024-12-19,3,13,12870.91,13083.63,212.72,0.0,PAGA
166,30,2024-01-08,2024-01-24,,3,16,6987.4,0.0,0.0,0.0,CANCELADA
167,2,2025-09-24,2025-10-06,,5,11,8485.44,0.0,0.0,0.0,CANCELADA
168,23,2025-02-04,2025-02-26,,2,11,6757.3,0.0,0.0,0.0,CANCELADA
169,36,2025-05-25,2025-06-02,,2,15,716.65,0.0,0.0,0.0,CANCELADA
170,35,2024-02-24,2024-03-24,2024-04-06,6,13,10471.77,10605.32,133.55,0.0,PAGA
171,34,2025-01-17,2025-02-03,,8,12,12243.86,0.0,0.0,0.0,ATRASADA
172,21,2024-07-02,2024-07-29,2024-08-12,5,13,9985.04,10138.4,153.36,0.0,PAGA
173,22,2024-08-06,2024-08-12,2024-08-11,7,10,9414.46,9309.53,0.0,104.93,PAGA
174,35,2025-09-20,2025-10-07,2025-10-15,3,13,6218.41,6318.95,100.54,0.0,PAGA
175,28,2025-10-03,2025-10-10,,6,13,12377.71,0.0,0.0,0.0,CANCELADA
176,8,2025-12-19,2026-01-07,2025-12-31,5,13,1416.44,1449.23,32.79,0.0,PAGA
177,13,2024-01-06,2024-01-26,2024-02-12,8,12,3061.52,3097.09,35.57,0.0,PAGA
178,5,2024-09-02,2024-09-29,2024-10-04,3,10,11421.24,11910.82,489.58,0.0,PAGA
179,28,2025-02-12,2025-03-05,2025-03-02,3,16,14865.73,14484.49,0.0,381.24,PAGA
180,8,2024-01-15,2024-02-12,,4,15,6931.84,0.0,0.0,0.0,ATRASADA
181,14,2024-07-29,2024-08-03,,1,14,11957.41,0.0,0.0,0.0,ATRASADA
182,16,2024-08-14,2024-08-26,,5,13,6756.42,0.0,0.0,0.0,CANCELADA
183,32,2024-10-25,2024-11-13,2024-12-07,7,11,6655.33,6963.88,308.55,0.0,PAGA
184,38,2025-02-15,2025-02-27,,4,16,12623.36,0.0,0.0,0.0,ATRASADA
185,23,2025-05-25,2025-06-04,2025-06-26,5,13,11268.16,11474.88,206.72,0.0,PAGA
186,12,2024-01-02,2024-01-22,,3,10,9267.36,0.0,0.0,0.0,ATRASADA
187,23,2025-06-07,2025-07-03,,4,15,6063.02,0.0,0.0,0.0,ATRASADA
188,37,2025-02-20,2025-03-07,2025-04-05,6,15,9779.63,10099.27,319.64,0.0,PAGA
189,20,2025-08-14,2025-09-03,2025-09-23,1,16,14398.38,14949.7,551.32,0.0,PAGA
190,10,2025-11-01,2025-12-01,,7,11,9258.61,0.0,0.0,0.0,ATRASADA
191,3,2025-07-12,2025-07-31,2025-08-25,1,15,13063.12,13392.8,329.68,0.0,PAGA
192,21,2024-11-11,2024-12-03,2024-12-03,8,13,12612.97,12612.97,0.0,0.0,PAGA
193,20,2024-01-13,2024-01-19,2024-02-06,6,14,2716.37,2829.95,113.58,0.0,PAGA
194,10,2025-03-08,2025-04-03,2025-04-05,5,16,13365.29,13789.82,424.53,0.0,PAGA
195,18,2024-08-28,2024-09-07,2024-10-07,8,11,7357.18,7464.43,107.25,0.0,PAGA
196,35,2025-09-22,2025-10-13,2025-10-28,1,15,7932.62,8104.75,172.13,0.0,PAGA
197,38,2025-11-06,2025-11-23,2025-12-07,6,10,7860.49,8097.54,237.05,0.0,PAGA
198,37,2024-05-14,2024-05-26,,8,10,12952.78,0.0,0.0,0.0,ATRASADA
199,20,2025-09-03,2025-09-13,,3,11,2364.62,0.0,0.0,0.0,ATRASADA
200,13,2024-11-21,2024-12-03,2024-12-10,6,15,12355.54,12605.95,250.41,0.0,PAGA
201,7,2025-07-12,2025-07-18,,5,15,6204.97,0.0,0.0,0.0,ATRASADA
202,16,2025-08-07,2025-09-04,2025-09-26,7,13,7417.94,7578.94,161.0,0.0,PAGA
203,33,2024-08-27,2024-09-06,2024-09-30,5,16,952.64,1000.18,47.54,0.0,PAGA
204,30,2025-11-25,2025-12-22,2025-12-27,2,16,4516.48,4652.19,135.71,0.0,PAGA
205,9,2025-11-13,2025-12-08,2025-12-05,3,11,3923.2,3868.36,0.0,54.84,PAGA
206,15,2024-08-27,2024-09-18,2024-10-16,5,13,13386.79,13892.56,505.77,0.0,PAGA
207,15,2024-04-26,2024-05-22,,3,11,9440.63,0.0,0.0,0.0,CANCELADA
208,12,2024-11-25,2024-12-03,2024-12-28,2,14,8541.6,8929.44,387.84,0.0,PAGA
209,37,2024-05-18,2024-06-08,2024-06-22,5,13,14487.59,14873.36,385.77,0.0,PAGA
210,24,2024-02-15,2024-03-05,2024-03-29,6,11,12126.83,12507.31,380.48,0.0,PAGA
211,29,2025-08-18,2025-08-23,2025-09-11,7,11,1061.54,1087.02,25.48,0.0,PAGA
212,16,2024-06-29,2024-07-15,2024-08-10,5,11,3389.83,3465.66,75.83,0.0,PAGA
213,31,2024-03-01,2024-03-14,2024-04-02,8,11,6430.68,6509.72,79.04,0.0,PAGA
214,9,2025-10-25,2025-11-11,2025-12-08,3,11,3834.96,3937.71,102.75,0.0,PAGA
215,14,2024-10-04,2024-10-12,2024-11-06,5,10,5591.01,5713.17,122.16,0.0,PAGA
216,14,2025-07-31,2025-08-25,2025-09-20,8,10,8701.28,8885.11,183.83,0.0,PAGA
217,3,2024-05-04,2024-05-28,2024-05-28,2,15,7459.57,7459.57,0.0,0.0,PAGA
218,4,2024-09-11,2024-09-25,2024-10-24,2,14,5906.73,5974.99,68.26,0.0,PAGA
219,25,2025-01-31,2025-02-07,,3,12,6526.7,0.0,0.0,0.0,ATRASADA
220,24,2024-01-19,2024-01-25,2024-01-24,2,16,13285.18,12999.8,0.0,285.38,PAGA
221,28,2024-02-14,2024-02-21,2024-02-23,8,15,10150.37,10430.13,279.76,0.0,PAGA
222,29,2025-07-07,2025-08-03,,8,15,11389.11,0.0,0.0,0.0,CANCELADA
223,36,2025-06-17,2025-07-13,,5,13,14039.84,0.0,0.0,0.0,ATRASADA
224,7,2025-01-10,2025-01-31,,6,15,6640.99,0.0,0.0,0.0,ATRASADA
225,32,2025-12-03,2025-12-28,2025-12-28,7,13,10731.41,10731.41,0.0,0.0,PAGA
226,38,2025-10-24,2025-11-09,2025-11-25,2,11,2759.18,2894.38,135.2,0.0,PAGA
227,20,2025-08-03,2025-08-26,2025-09-07,2,15,3404.55,3555.23,150.68,0.0,PAGA
228,21,2024-03-06,2024-03-13,2024-04-03,5,11,13183.0,13478.07,295.07,0.0,PAGA
229,35,2025-01-08,2025-01-15,2025-02-02,4,13,11344.29,11613.75,269.46,0.0,PAGA
230,11,2024-07-22,2024-07-27,2024-08-24,4,10,14826.19,15168.33,342.14,0.0,PAGA
231,13,2024-02-12,2024-02-23,,2,12,7834.53,0.0,0.0,0.0,ATRASADA
232,9,2025-04-05,2025-04-27,,4,14,14430.53,0.0,0.0,0.0,CANCELADA
233,27,2025-08-01,2025-08-27,2025-09-14,1,10,10655.54,11085.18,429.64,0.0,PAGA
234,39,2024-03-03,2024-03-20,,7,12,3624.98,0.0,0.0,0.0,CANCELADA
235,21,2025-11-08,2025-11-18,2025-12-17,1,11,5430.36,5636.31,205.95,0.0,PAGA
236,28,2024-01-18,2024-01-31,2024-02-01,6,13,8566.24,8874.25,308.01,0.0,PAGA
237,32,2024-10-30,2024-11-04,2024-11-10,5,11,3337.46,3412.54,75.08,0.0,PAGA
238,11,2024-04-24,2024-04-29,2024-05-16,8,16,9554.91,9955.52,400.61,0.0,PAGA
239,23,2024-04-10,2024-05-07,2024-05-23,8,12,6634.01,6803.91,169.9,0.0,PAGA
240,4,2025-05-15,2025-05-27,,4,14,11597.2,0.0,0.0,0.0,ATRASADA
241,5,2024-01-23,2024-02-10,,3,11,8311.25,0.0,0.0,0.0,ATRASADA
242,6,2025-11-13,2025-11-26,2025-12-07,5,13,7295.91,7489.61,193.7,0.0,PAGA
243,19,2024-07-30,2024-08-06,2024-08-17,4,11,887.15,924.23,37.08,0.0,PAGA
244,15,2025-04-14,2025-05-06,2025-05-04,8,12,9239.5,9053.17,0.0,186.33,PAGA
245,30,2025-05-29,2025-06-16,2025-06-21,8,12,6533.05,6670.95,137.9,0.0,PAGA
246,34,2025-03-16,2025-03-31,2025-04-01,4,13,12123.09,12586.8,463.71,0.0,PAGA
247,4,2024-12-09,2025-01-04,2025-01-01,5,12,5352.54,5197.4,0.0,155.14,PAGA
248,12,2024-07-06,2024-07-25,2024-07-26,3,11,7165.52,7295.56,130.04,0.0,PAGA
249,5,2024-03-28,2024-04-17,2024-05-17,2,10,328.37,344.17,15.8,0.0,PAGA
250,33,2025-06-07,2025-06-22,,8,13,10779.43,0.0,0.0,0.0,CANCELADA
251,12,2024-01-29,2024-02-28,,7,16,12786.06,0.0,0.0,0.0,CANCELADA
252,17,2024-04-13,2024-04-24,2024-05-15,5,16,7883.13,8253.52,370.39,0.0,PAGA
253,25,2024-08-15,2024-08-20,2024-08-30,6,15,3127.02,3176.22,49.2,0.0,PAGA
254,31,2025-01-22,2025-02-14,2025-02-14,7,13,10126.87,10126.87,0.0,0.0,PAGA
255,36,2025-02-03,2025-02-26,2025-03-22,3,12,7275.59,7600.21,324.62,0.0,PAGA
256,23,2024-08-10,2024-08-25,2024-09-04,6,13,8309.3,8535.48,226.18,0.0,PAGA
257,9,2025-09-24,2025-10-03,,3,12,3348.09,0.0,0.0,0.0,CANCELADA
258,23,2025-01-26,2025-02-19,2025-03-16,7,14,13676.08,14103.55,427.47,0.0,PAGA
259,10,2024-01-27,2024-02-14,2024-02-26,3,12,4174.18,4324.3,150.12,0.0,PAGA
260,20,2024-03-09,2024-03-23,2024-03-22,7,11,3106.01,3037.16,0.0,68.85,PAGA
261,9,2024-06-02,2024-06-29,2024-07-25,3,12,13173.47,13529.38,355.91,0.0,PAGA
262,39,2025-11-20,2025-12-14,2025-12-31,2,16,9022.1,9469.26,447.16,0.0,PAGA
263,27,2024-10-16,2024-10-23,2024-10-24,6,16,2207.0,2253.25,46.25,0.0,PAGA
264,14,2024-03-06,2024-03-22,2024-04-04,6,16,6651.73,6756.39,104.66,0.0,PAGA
265,23,2025-01-15,2025-01-23,2025-02-10,2,14,1422.52,1439.86,17.34,0.0,PAGA
266,6,2024-12-26,2025-01-25,2025-02-13,2,11,6782.97,7008.5,225.53,0.0,PAGA
267,1,2024-02-22,2024-03-07,2024-03-06,8,16,7161.27,6946.97,0.0,214.3,PAGA
268,40,2024-11-04,2024-11-27,2024-11-26,6,10,3794.4,3755.38,0.0,39.02,PAGA
269,34,2024-09-04,2024-09-20,2024-09-26,3,12,10826.67,11303.85,477.18,0.0,PAGA
270,10,2025-01-28,2025-02-16,2025-02-19,2,14,2541.26,2583.1,41.84,0.0,PAGA
271,12,2024-05-05,2024-05-16,,4,13,932.15,0.0,0.0,0.0,CANCELADA
272,11,2024-07-01,2024-07-20,2024-07-28,6,16,1589.75,1619.75,30.0,0.0,PAGA
273,8,2024-08-17,2024-09-02,,8,13,14219.32,0.0,0.0,0.0,ATRASADA
