id_conta_receber,id_cliente,data_emissao,data_vencimento,data_pagamento,id_centro_custo,id_plano_contas,valor_original,valor_pago,juros_multa,desconto,status
24,25,2025-07-25,2025-08-06,2025-08-03,1.0,2,10068.79,9590.39,0.0,478.4,PAGA
25,28,2024-07-13,2024-08-09,2024-08-26,3.0,2,10653.11,10712.13,59.02,0.0,PAGA
26,42,2025-10-16,2025-11-14,2025-11-12,1.0,1,2617.23,2520.68,0.0,96.55,PAGA
27,13,2025-06-14,2025-07-17,,5.0,3,2600.95,0.0,0.0,0.0,ATRASADA
28,49,2024-01-28,2024-02-15,2024-02-18,7.0,3,7732.98,7927.9,194.92,0.0,PAGA
29,16,2025-11-26,2025-12-28,2025-12-30,1.0,1,5491.32,5647.28,155.96,0.0,PAGA
30,27,2024-11-13,2024-11-24,,,3,17887.71,0.0,0.0,0.0,CANCELADA
31,43,2025-10-14,2025-11-25,2025-11-20,6.0,2,6660.62,6417.73,0.0,242.89,PAGA
32,19,2024-03-09,2024-04-14,2024-04-28,,1,18767.86,18974.76,206.9,0.0,PAGA
33,4,2024-04-21,2024-05-30,2024-06-12,7.0,1,12187.96,12308.75,120.79,0.0,PAGA
34,16,2025-07-21,2025-08-11,2025-08-31,1.0,1,3306.0,3323.68,17.68,0.0,PAGA
35,14,2025-05-09,2025-05-23,2025-06-11,6.0,2,10373.43,10576.0,202.57,0.0,PAGA
36,10,2025-08-10,2025-08-20,,6.0,2,3055.63,0.0,0.0,0.0,ATRASADA
37,7,2025-11-08,2025-11-20,2025-11-25,2.0,3,10027.39,10243.7,216.31,0.0,PAGA
38,27,2025-11-06,2025-11-26,2025-11-24,5.0,3,11326.36,11165.12,0.0,161.24,PAGA
39,8,2024-11-01,2024-11-11,2024-12-01,3.0,2,18693.95,19163.34,469.39,0.0,PAGA
40,32,2024-01-14,2024-02-21,2024-02-22,7.0,2,16673.86,16854.2,180.34,0.0,PAGA
41,27,2025-03-18,2025-04-30,,7.0,1,8545.15,0.0,0.0,0.0,ATRASADA
42,19,2024-11-06,2024-11-20,,5.0,2,9350.99,0.0,0.0,0.0,CANCELADA
43,13,2024-06-21,2024-08-05,,6.0,3,2552.92,0.0,0.0,0.0,ATRASADA
44,4,2025-03-09,2025-03-31,,1.0,3,6551.53,0.0,0.0,0.0,ATRASADA
45,8,2025-11-03,2025-12-04,2025-12-03,4.0,1,3495.46,3444.36,0.0,51.1,PAGA
46,36,2024-05-07,2024-05-18,2024-05-26,6.0,3,12027.3,12205.79,178.49,0.0,PAGA
47,16,2025-01-03,2025-02-08,,7.0,2,1347.76,0.0,0.0,0.0,CANCELADA
48,10,2024-06-21,2024-07-09,2024-07-10,,2,8617.12,8670.82,53.7,0.0,PAGA
49,47,2024-03-15,2024-04-12,,3.0,3,1513.26,0.0,0.0,0.0,ATRASADA
50,35,2025-09-07,2025-09-20,,2.0,3,19601.63,0.0,0.0,0.0,CANCELADA
51,29,2025-04-14,2025-05-22,,7.0,2,3123.77,0.0,0.0,0.0,ATRASADA
52,17,2025-09-18,2025-10-16,2025-10-28,5.0,1,8009.25,8102.65,93.4,0.0,PAGA
53,7,2024-12-14,2024-12-29,2025-01-03,6.0,1,7666.48,7775.04,108.56,0.0,PAGA
54,22,2025-05-15,2025-06-07,2025-06-19,8.0,3,19002.73,19326.21,323.48,0.0,PAGA
55,17,2025-01-25,2025-03-10,,7.0,2,16185.64,0.0,0.0,0.0,ATRASADA
56,27,2025-04-07,2025-04-19,,2.0,2,4446.89,0.0,0.0,0.0,ATRASADA
57,35,2025-09-20,2025-11-02,,1.0,2,2354.37,0.0,0.0,0.0,ATRASADA
58,37,2024-03-02,2024-03-30,2024-04-18,3.0,2,19198.16,19678.54,480.38,0.0,PAGA
59,23,2025-08-03,2025-09-10,,6.0,2,5440.98,0.0,0.0,0.0,CANCELADA
60,3,2025-03-25,2025-04-07,2025-04-02,5.0,3,11516.54,11186.71,0.0,329.83,PAGA
61,27,2025-07-11,2025-08-23,2025-09-07,7.0,1,12192.07,12536.87,344.8,0.0,PAGA
62,40,2024-03-05,2024-03-19,,8.0,3,8662.86,0.0,0.0,0.0,ATRASADA
63,11,2024-08-31,2024-10-04,,5.0,1,15369.38,0.0,0.0,0.0,CANCELADA
64,40,2024-08-17,2024-09-09,2024-09-06,8.0,3,3381.78,3288.73,0.0,93.05,PAGA
65,20,2025-06-16,2025-07-02,,4.0,2,15715.88,0.0,0.0,0.0,CANCELADA
66,24,2024-10-01,2024-11-03,,8.0,2,19048.3,0.0,0.0,0.0,ATRASADA
67,6,2025-09-12,2025-10-23,2025-11-03,4.0,1,11971.03,12236.22,265.19,0.0,PAGA
68,5,2025-08-25,2025-09-20,2025-09-23,3.0,2,9441.69,9560.17,118.48,0.0,PAGA
69,46,2025-07-24,2025-08-22,,,3,17644.4,0.0,0.0,0.0,CANCELADA
70,15,2025-09-02,2025-09-13,,,1,13480.85,0.0,0.0,0.0,CANCELADA
71,33,2024-03-07,2024-04-10,2024-04-28,7.0,3,5196.15,5240.71,44.56,0.0,PAGA
72,41,2025-10-26,2025-11-12,,,1,1205.17,0.0,0.0,0.0,ATRASADA
73,8,2025-03-18,2025-03-29,,2.0,3,5151.78,0.0,0.0,0.0,ATRASADA
74,13,2025-08-07,2025-08-19,,7.0,3,15556.11,0.0,0.0,0.0,CANCELADA
75,41,2024-01-30,2024-03-10,2024-03-23,4.0,2,2936.01,3005.39,69.38,0.0,PAGA
76,32,2025-09-13,2025-10-09,,1.0,1,4264.31,0.0,0.0,0.0,ATRASADA
77,14,2025-06-02,2025-06-30,,8.0,1,1562.76,0.0,0.0,0.0,ATRASADA
78,31,2024-01-31,2024-02-17,,7.0,2,3875.99,0.0,0.0,0.0,ATRASADA
79,5,2024-05-13,2024-06-05,2024-06-25,7.0,2,15789.58,16119.74,330.16,0.0,PAGA
80,23,2025-11-21,2025-12-06,2025-12-14,6.0,2,11771.34,12021.26,249.92,0.0,PAGA
81,48,2024-04-18,2024-05-14,2024-05-22,8.0,1,9746.29,9824.07,77.78,0.0,PAGA
82,48,2024-08-10,2024-08-30,2024-09-04,5.0,1,12414.26,12604.14,189.88,0.0,PAGA
83,21,2024-06-07,2024-07-21,2024-07-31,4.0,2,1203.17,1221.77,18.6,0.0,PAGA
84,8,2025-02-21,2025-03-11,2025-03-20,5.0,2,14189.04,14491.42,302.38,0.0,PAGA
85,16,2025-07-28,2025-08-19,2025-08-28,8.0,2,12707.24,12885.35,178.11,0.0,PAGA
86,41,2025-10-09,2025-11-14,,6.0,2,10320.84,0.0,0.0,0.0,CANCELADA
87,14,2024-08-17,2024-09-24,,,1,10135.76,0.0,0.0,0.0,ATRASADA
88,3,2025-09-06,2025-09-18,2025-09-27,3.0,3,5971.92,6027.61,55.69,0.0,PAGA
89,16,2025-06-26,2025-08-07,,,2,17202.69,0.0,0.0,0.0,ATRASADA
90,19,2024-04-22,2024-05-10,2024-05-20,,3,7615.93,7836.49,220.56,0.0,PAGA
91,23,2024-08-15,2024-09-21,,6.0,2,14255.42,0.0,0.0,0.0,ATRASADA
92,47,2024-01-08,2024-02-10,2024-02-17,1.0,2,10739.22,10837.46,98.24,0.0,PAGA
93,42,2025-12-23,2026-02-05,,5.0,2,19811.27,0.0,0.0,0.0,ABERTA
94,8,2024-11-23,2025-01-02,2025-01-07,4.0,2,15228.94,15470.23,241.29,0.0,PAGA
95,46,2024-05-12,2024-05-27,,5.0,1,1370.66,0.0,0.0,0.0,CANCELADA
96,10,2024-12-23,2025-01-12,2025-01-07,,3,10119.15,9919.33,0.0,199.82,PAGA
97,43,2025-04-10,2025-05-10,,5.0,2,15376.61,0.0,0.0,0.0,ATRASADA
98,3,2024-09-24,2024-10-30,2024-11-08,4.0,3,16967.34,17256.88,289.54,0.0,PAGA
99,35,2025-01-03,2025-02-12,,1.0,3,11948.92,0.0,0.0,0.0,CANCELADA
100,20,2024-12-30,2025-01-21,2025-01-16,3.0,2,2547.1,2428.17,0.0,118.93,PAGA
101,32,2024-05-09,2024-05-19,2024-05-22,6.0,2,984.05,1011.79,27.74,0.0,PAGA
102,22,2025-03-12,2025-04-02,2025-04-01,6.0,3,5921.43,5712.1,0.0,209.33,PAGA
103,50,2025-03-28,2025-05-08,,4.0,2,18114.89,0.0,0.0,0.0,ATRASADA
104,37,2025-12-04,2026-01-05,,7.0,2,2725.03,0.0,0.0,0.0,CANCELADA
105,37,2024-11-17,2024-12-20,,4.0,1,19411.39,0.0,0.0,0.0,ATRASADA
106,50,2024-07-29,2024-09-06,,6.0,1,7256.61,0.0,0.0,0.0,ATRASADA
107,7,2024-01-30,2024-02-27,2024-03-13,2.0,3,19718.03,20045.83,327.8,0.0,PAGA
108,13,2025-08-02,2025-08-26,2025-09-04,7.0,2,11331.5,11650.11,318.61,0.0,PAGA
109,42,2024-01-27,2024-02-07,2024-02-11,6.0,3,2631.0,2688.57,57.57,0.0,PAGA
110,33,2025-09-23,2025-10-30,,3.0,1,16117.0,0.0,0.0,0.0,ATRASADA
111,46,2025-03-29,2025-04-16,,8.0,2,587.75,0.0,0.0,0.0,CANCELADA
112,14,2024-01-22,2024-02-25,2024-03-06,6.0,2,17964.88,18161.44,196.56,0.0,PAGA
113,43,2024-09-11,2024-10-19,2024-11-05,1.0,1,12011.24,12190.49,179.25,0.0,PAGA
114,28,2024-05-16,2024-06-26,2024-07-02,6.0,2,7167.58,7348.1,180.52,0.0,PAGA
115,50,2024-08-04,2024-09-10,2024-09-15,7.0,3,11710.0,12060.59,350.59,0.0,PAGA
116,37,2024-10-13,2024-11-13,,3.0,1,10189.87,0.0,0.0,0.0,CANCELADA
117,6,2024-02-19,2024-03-13,2024-03-15,4.0,3,844.54,862.16,17.62,0.0,PAGA
118,18,2024-11-02,2024-12-13,,8.0,3,11046.7,0.0,0.0,0.0,ATRASADA
119,15,2025-10-16,2025-11-08,2025-11-09,8.0,3,18226.76,18559.19,332.43,0.0,PAGA
120,11,2025-04-22,2025-05-23,2025-05-25,2.0,2,5206.76,5253.03,46.27,0.0,PAGA
121,44,2024-07-25,2024-08-06,,5.0,2,15784.57,0.0,0.0,0.0,ATRASADA
122,22,2024-12-13,2025-01-26,,8.0,3,16385.45,0.0,0.0,0.0,ATRASADA
123,46,2025-07-28,2025-08-23,2025-08-22,2.0,3,2486.94,2397.12,0.0,89.82,PAGA
124,39,2024-11-12,2024-12-10,2024-12-24,,1,19215.6,19331.41,115.81,0.0,PAGA
125,13,2024-02-17,2024-04-02,2024-04-08,7.0,1,6595.11,6636.49,41.38,0.0,PAGA
126,32,2024-02-14,2024-03-08,,8.0,1,4536.9,0.0,0.0,0.0,ATRASADA
127,25,2024-10-31,2024-11-24,2024-11-29,7.0,1,2685.37,2698.88,13.51,0.0,PAGA
128,26,2024-12-23,2025-01-03,2025-01-06,4.0,1,15721.33,16130.56,409.23,0.0,PAGA
129,12,2024-06-26,2024-07-17,2024-07-20,2.0,1,13823.54,14006.96,183.42,0.0,PAGA
130,47,2024-02-05,2024-03-03,,4.0,2,3433.85,0.0,0.0,0.0,ATRASADA
131,3,2024-04-10,2024-04-20,2024-05-08,1.0,1,4172.28,4196.4,24.12,0.0,PAGA
132,36,2024-06-25,2024-07-27,2024-08-08,7.0,1,12008.81,12070.28,61.47,0.0,PAGA
133,43,2025-03-27,2025-04-22,,1.0,1,17182.09,0.0,0.0,0.0,ATRASADA
134,13,2025-11-01,2025-12-01,,4.0,1,19700.67,0.0,0.0,0.0,ATRASADA
135,19,2025-08-16,2025-08-31,,2.0,1,12214.31,0.0,0.0,0.0,ATRASADA
136,11,2024-10-29,2024-11-30,2024-12-03,3.0,1,1081.78,1096.56,14.78,0.0,PAGA
137,36,2025-06-13,2025-06-28,,7.0,1,14902.32,0.0,0.0,0.0,ATRASADA
138,7,2025-03-09,2025-04-20,2025-05-02,6.0,3,3302.51,3333.3,30.79,0.0,PAGA
139,26,2025-12-24,2026-01-12,2025-12-31,3.0,1,19865.15,19201.94,0.0,663.21,PAGA
140,29,2025-10-04,2025-11-15,2025-11-14,2.0,2,12624.94,12473.18,0.0,151.76,PAGA
141,30,2024-08-03,2024-08-25,,5.0,1,854.13,0.0,0.0,0.0,ATRASADA
142,30,2024-06-17,2024-07-27,2024-08-13,4.0,2,12410.02,12643.81,233.79,0.0,PAGA
143,38,2025-06-13,2025-07-17,2025-07-30,8.0,3,15289.23,15525.93,236.7,0.0,PAGA
144,26,2024-01-10,2024-01-21,2024-02-05,6.0,3,8455.25,8517.41,62.16,0.0,PAGA
145,33,2025-05-13,2025-06-06,2025-06-07,1.0,3,19250.22,19442.5,192.28,0.0,PAGA
146,43,2025-10-28,2025-11-15,2025-11-15,5.0,3,14803.15,14803.15,0.0,0.0,PAGA
147,33,2025-01-12,2025-02-04,,4.0,3,14757.15,0.0,0.0,0.0,ATRASADA
148,48,2024-03-17,2024-04-16,,7.0,3,17378.66,0.0,0.0,0.0,CANCELADA
149,26,2024-05-29,2024-06-11,,1.0,3,951.23,0.0,0.0,0.0,ATRASADA
150,50,2025-06-09,2025-07-02,,5.0,1,8195.28,0.0,0.0,0.0,CANCELADA
151,18,2025-02-28,2025-03-31,2025-04-09,8.0,1,12234.61,12438.82,204.21,0.0,PAGA
152,10,2024-10-02,2024-10-25,2024-10-30,,2,3675.99,3757.28,81.29,0.0,PAGA
153,2,2024-06-26,2024-08-09,2024-08-19,7.0,2,15193.34,15374.94,181.6,0.0,PAGA
154,11,2024-05-15,2024-06-11,2024-06-19,,2,5559.08,5593.15,34.07,0.0,PAGA
155,5,2025-04-21,2025-06-04,2025-06-05,2.0,1,2658.5,2691.38,32.88,0.0,PAGA
156,39,2025-10-01,2025-11-07,,8.0,2,19656.15,0.0,0.0,0.0,CANCELADA
157,48,2024-02-22,2024-03-17,2024-03-15,7.0,3,11281.52,11124.94,0.0,156.58,PAGA
158,38,2025-01-30,2025-03-03,2025-03-09,1.0,2,5438.48,5581.5,143.02,0.0,PAGA
159,30,2025-06-20,2025-07-26,2025-07-28,,3,8394.67,8596.15,201.48,0.0,PAGA
160,3,2025-11-18,2025-12-05,2025-12-18,,1,17974.38,18183.13,208.75,0.0,PAGA
161,43,2024-05-11,2024-06-13,2024-06-18,1.0,3,5282.55,5402.76,120.21,0.0,PAGA
162,29,2024-09-04,2024-10-15,2024-10-18,2.0,1,5343.92,5392.18,48.26,0.0,PAGA
163,48,2025-10-10,2025-10-20,2025-11-04,3.0,2,10066.85,10250.51,183.66,0.0,PAGA
164,42,2024-04-06,2024-05-01,2024-04-28,4.0,1,19068.87,18151.12,0.0,917.75,PAGA
165,9,2025-02-08,2025-03-24,2025-03-24,3.0,1,1086.06,1086.06,0.0,0.0,PAGA
166,8,2024-08-22,2024-10-04,,8.0,2,9567.78,0.0,0.0,0.0,ATRASADA
167,27,2024-05-16,2024-06-14,,7.0,3,16457.0,0.0,0.0,0.0,CANCELADA
168,19,2024-04-21,2024-05-17,,5.0,1,7157.05,0.0,0.0,0.0,CANCELADA
169,47,2025-08-02,2025-08-24,,5.0,3,15141.35,0.0,0.0,0.0,ATRASADA
170,42,2025-11-05,2025-11-22,2025-12-06,,1,12960.77,13347.44,386.67,0.0,PAGA
171,15,2024-02-15,2024-03-10,2024-03-16,4.0,2,3470.37,3542.58,72.21,0.0,PAGA
172,8,2024-08-20,2024-10-02,,2.0,2,9491.44,0.0,0.0,0.0,ATRASADA
173,33,2024-12-11,2025-01-11,,5.0,1,7182.92,0.0,0.0,0.0,CANCELADA
174,5,2025-09-09,2025-10-13,2025-10-15,8.0,1,9267.84,9487.86,220.02,0.0,PAGA
175,50,2025-01-22,2025-02-28,2025-03-12,6.0,3,18976.94,19245.62,268.68,0.0,PAGA
176,20,2025-02-14,2025-03-10,,6.0,3,10424.22,0.0,0.0,0.0,ATRASADA
177,17,2025-04-17,2025-05-12,2025-05-19,3.0,3,8459.06,8527.96,68.9,0.0,PAGA
178,5,2025-05-02,2025-05-16,,5.0,3,885.45,0.0,0.0,0.0,ATRASADA
179,17,2024-05-24,2024-06-08,,7.0,3,5310.27,0.0,0.0,0.0,CANCELADA
180,34,2024-04-04,2024-05-15,2024-05-17,8.0,3,6028.65,6160.49,131.84,0.0,PAGA
181,38,2025-01-30,2025-02-16,,5.0,2,19081.99,0.0,0.0,0.0,ATRASADA
182,38,2025-04-01,2025-04-20,2025-04-28,3.0,2,19534.5,19966.91,432.41,0.0,PAGA
183,2,2024-10-19,2024-11-23,,7.0,1,9156.89,0.0,0.0,0.0,ATRASADA
184,47,2025-09-15,2025-10-06,2025-10-09,7.0,2,10051.57,10260.69,209.12,0.0,PAGA
185,41,2025-10-28,2025-11-15,,8.0,3,16944.8,0.0,0.0,0.0,CANCELADA
186,2,2025-07-12,2025-08-17,,5.0,2,9871.85,0.0,0.0,0.0,ATRASADA
187,35,2025-04-15,2025-05-03,2025-05-10,5.0,1,5527.26,5611.55,84.29,0.0,PAGA
188,11,2025-08-18,2025-09-07,2025-09-24,4.0,3,646.39,655.05,8.66,0.0,PAGA
189,7,2024-04-10,2024-05-20,,1.0,2,2756.23,0.0,0.0,0.0,ATRASADA
190,23,2024-05-20,2024-07-04,2024-07-09,5.0,1,8744.61,8992.28,247.67,0.0,PAGA
191,50,2024-02-20,2024-04-03,,1.0,2,5777.33,0.0,0.0,0.0,ATRASADA
192,45,2025-04-29,2025-05-25,,1.0,1,3938.95,0.0,0.0,0.0,ATRASADA
193,22,2025-02-07,2025-02-25,,4.0,1,13227.39,0.0,0.0,0.0,ATRASADA
194,50,2025-12-30,2026-01-10,2025-12-31,2.0,1,14692.94,15125.16,432.22,0.0,PAGA
195,15,2024-11-06,2024-12-02,2024-12-16,3.0,3,13609.16,13945.12,335.96,0.0,PAGA
196,42,2025-08-22,2025-10-04,2025-10-09,1.0,2,15102.01,15480.08,378.07,0.0,PAGA
197,12,2024-04-15,2024-05-27,,2.0,1,2373.86,0.0,0.0,0.0,CANCELADA
198,16,2024-02-19,2024-03-19,2024-03-16,3.0,1,510.12,489.21,0.0,20.91,PAGA
199,2,2025-04-21,2025-05-27,2025-06-12,2.0,3,3363.84,3453.05,89.21,0.0,PAGA
200,28,2025-08-21,2025-09-19,2025-09-28,6.0,1,8192.39,8286.08,93.69,0.0,PAGA
201,38,2025-01-03,2025-02-01,2025-02-15,5.0,1,7674.13,7754.55,80.42,0.0,PAGA
202,33,2024-03-27,2024-05-03,2024-05-02,1.0,1,3937.68,3768.66,0.0,169.02,PAGA
203,20,2025-12-23,2026-02-01,,1.0,3,9250.23,0.0,0.0,0.0,ABERTA
204,20,2025-09-30,2025-11-13,,8.0,2,4249.86,0.0,0.0,0.0,CANCELADA
205,12,2025-04-23,2025-06-06,,2.0,3,11545.2,0.0,0.0,0.0,ATRASADA
206,28,2025-08-27,2025-09-19,2025-10-02,3.0,2,1464.45,1493.8,29.35,0.0,PAGA
207,31,2024-11-01,2024-11-20,,3.0,2,16618.92,0.0,0.0,0.0,ATRASADA
208,8,2024-07-16,2024-08-08,2024-08-14,5.0,3,6637.62,6783.09,145.47,0.0,PAGA
209,4,2024-01-01,2024-01-11,,1.0,3,13102.67,0.0,0.0,0.0,CANCELADA
210,9,2025-10-11,2025-10-24,2025-10-31,3.0,1,18743.07,18864.66,121.59,0.0,PAGA
211,24,2024-05-22,2024-06-22,,8.0,1,4674.8,0.0,0.0,0.0,ATRASADA
212,21,2024-11-04,2024-11-21,2024-12-02,7.0,2,3126.49,3167.17,40.68,0.0,PAGA
213,19,2024-02-10,2024-03-09,2024-03-13,7.0,3,12404.46,12530.18,125.72,0.0,PAGA
214,2,2024-03-13,2024-04-25,2024-05-01,5.0,1,2748.87,2771.0,22.13,0.0,PAGA
215,43,2025-07-04,2025-07-17,2025-08-02,1.0,2,19935.21,20056.9,121.69,0.0,PAGA
216,4,2025-11-23,2025-12-14,2025-12-31,1.0,1,16220.72,16698.68,477.96,0.0,PAGA
217,25,2024-12-26,2025-01-15,2025-02-04,4.0,1,8251.74,8413.63,161.89,0.0,PAGA
218,33,2024-05-21,2024-06-11,2024-06-06,5.0,3,17389.82,16966.43,0.0,423.39,PAGA
219,21,2024-11-11,2024-12-19,,5.0,3,18689.2,0.0,0.0,0.0,CANCELADA
220,20,2024-08-28,2024-09-16,2024-09-22,3.0,2,9505.45,9709.52,204.07,0.0,PAGA
221,19,2024-09-09,2024-09-30,2024-10-02,1.0,3,2345.48,2399.61,54.13,0.0,PAGA
222,20,2024-06-05,2024-07-13,,5.0,2,5519.74,0.0,0.0,0.0,ATRASADA
223,42,2025-11-08,2025-11-24,,5.0,2,1525.23,0.0,0.0,0.0,ATRASADA
224,48,2024-10-13,2024-10-26,2024-11-14,8.0,3,590.07,593.59,3.52,0.0,PAGA
225,46,2024-01-20,2024-02-19,,2.0,2,17116.83,0.0,0.0,0.0,ATRASADA
226,11,2024-01-04,2024-01-30,,7.0,3,6948.96,0.0,0.0,0.0,ATRASADA
227,50,2025-02-16,2025-03-11,2025-03-17,6.0,1,3631.47,3694.71,63.24,0.0,PAGA
228,27,2025-12-05,2025-12-17,,8.0,3,4158.38,0.0,0.0,0.0,CANCELADA
229,30,2025-10-03,2025-11-02,2025-11-06,2.0,2,16313.78,16591.83,278.05,0.0,PAGA
230,32,2025-03-19,2025-05-03,2025-05-01,3.0,3,7714.7,7601.02,0.0,113.68,PAGA
231,40,2025-09-03,2025-09-15,2025-09-17,8.0,2,17549.52,17647.78,98.26,0.0,PAGA
232,26,2025-05-18,2025-06-13,2025-06-10,3.0,1,13532.45,13062.22,0.0,470.23,PAGA
233,3,2024-12-03,2025-01-16,2025-01-24,4.0,2,3222.66,3253.96,31.3,0.0,PAGA
234,10,2025-11-22,2025-12-05,2025-12-10,8.0,2,16274.91,16389.13,114.22,0.0,PAGA
235,33,2025-09-28,2025-11-08,2025-11-19,1.0,2,8905.99,8958.51,52.52,0.0,PAGA
236,19,2025-11-30,2026-01-14,2025-12-31,2.0,2,14263.04,14656.34,393.3,0.0,PAGA
237,3,2025-11-14,2025-12-21,2025-12-31,8.0,1,1666.57,1709.68,43.11,0.0,PAGA
238,37,2025-10-30,2025-11-28,2025-12-13,4.0,1,8246.05,8300.29,54.24,0.0,PAGA
239,49,2024-08-14,2024-09-21,2024-09-20,6.0,3,19305.28,19039.42,0.0,265.86,PAGA
240,7,2025-08-28,2025-10-02,,3.0,3,16922.02,0.0,0.0,0.0,CANCELADA
241,32,2025-08-03,2025-08-17,2025-09-06,8.0,2,11098.16,11423.28,325.12,0.0,PAGA
242,36,2024-12-18,2025-01-13,2025-01-19,1.0,1,7551.18,7662.84,111.66,0.0,PAGA
243,37,2025-07-23,2025-08-04,2025-08-20,5.0,1,18648.35,18757.99,109.64,0.0,PAGA
244,8,2024-05-30,2024-06-19,2024-07-09,7.0,3,10557.24,10857.11,299.87,0.0,PAGA
245,3,2024-02-05,2024-02-23,2024-02-21,1.0,2,1734.91,1678.1,0.0,56.81,PAGA
246,46,2025-01-27,2025-03-01,2025-03-12,5.0,3,16111.38,16440.77,329.39,0.0,PAGA
247,32,2024-09-10,2024-10-24,2024-10-29,3.0,3,4905.61,5046.12,140.51,0.0,PAGA
248,19,2025-07-16,2025-07-30,2025-08-08,1.0,3,6754.32,6898.39,144.07,0.0,PAGA
249,9,2024-06-15,2024-07-10,,6.0,3,3793.02,0.0,0.0,0.0,ATRASADA
250,39,2024-03-19,2024-04-04,2024-03-30,4.0,1,10631.22,10339.22,0.0,292.0,PAGA
251,50,2024-12-20,2025-01-17,2025-01-24,2.0,1,1803.1,1838.84,35.74,0.0,PAGA
252,36,2024-02-07,2024-03-10,,4.0,3,9645.6,0.0,0.0,0.0,CANCELADA
253,15,2024-02-14,2024-03-12,,6.0,3,13139.58,0.0,0.0,0.0,ATRASADA
254,46,2025-04-10,2025-05-05,,2.0,2,12805.78,0.0,0.0,0.0,CANCELADA
255,22,2025-05-05,2025-06-07,,5.0,2,7732.79,0.0,0.0,0.0,CANCELADA
256,32,2025-01-04,2025-02-12,,4.0,1,9464.33,0.0,0.0,0.0,ATRASADA
257,30,2024-04-05,2024-05-11,2024-05-08,6.0,3,12723.09,12140.53,0.0,582.56,PAGA
258,14,2024-03-21,2024-04-03,2024-04-22,2.0,2,4354.51,4408.0,53.49,0.0,PAGA
259,10,2025-07-09,2025-08-19,,6.0,2,3916.02,0.0,0.0,0.0,ATRASADA
260,40,2024-04-17,2024-05-14,2024-05-18,1.0,3,6512.5,6634.65,122.15,0.0,PAGA
261,36,2024-02-21,2024-03-17,,4.0,1,15085.81,0.0,0.0,0.0,ATRASADA
262,41,2024-11-23,2024-12-18,2025-01-03,2.0,2,7535.81,7606.71,70.9,0.0,PAGA
263,18,2024-06-24,2024-07-18,,1.0,1,6620.01,0.0,0.0,0.0,ATRASADA
264,19,2024-11-16,2024-11-30,2024-12-18,2.0,1,7700.82,7886.25,185.43,0.0,PAGA
265,47,2024-12-29,2025-01-30,,5.0,2,19977.18,0.0,0.0,0.0,CANCELADA
266,31,2025-10-11,2025-11-19,,8.0,3,9488.16,0.0,0.0,0.0,ATRASADA
267,5,2024-01-12,2024-02-11,2024-02-18,6.0,2,8443.57,8605.72,162.15,0.0,PAGA
